bin,bin_low,bin_high,n,r2,mae,spearman,model
1,1.0658767678251024e-05,0.003970456309616566,11506,-41.18900581188537,0.006983025139115381,0.0,Naive Mean
2,0.003970456309616566,0.009949082508683205,11505,-2.0799300904558087,0.002578182078630991,0.0,Naive Mean
3,0.009949082508683205,0.02047796919941902,11507,-3.3972279095333064,0.005610487817651924,0.0,Naive Mean
4,0.02047796919941902,0.04646598547697067,11506,-9.010392291666204,0.02148415218291276,0.0,Naive Mean
5,0.04646598547697067,0.20817092061042786,11507,-5.097369310618633,0.0839290334641001,0.0,Naive Mean
1,1.0658767678251024e-05,0.003970456309616566,11506,-71.59729208753423,0.006521673714096923,0.5608557987961703,Ridge Regression
2,0.003970456309616566,0.009949082508683205,11505,-103.36221203372655,0.011041574717163691,0.19868101207325828,Ridge Regression
3,0.009949082508683205,0.02047796919941902,11507,-59.02316284225,0.01216157317685262,0.13375800080062492,Ridge Regression
4,0.02047796919941902,0.04646598547697067,11506,-19.763809291706785,0.01693487427092367,0.3523549097490795,Ridge Regression
5,0.04646598547697067,0.20817092061042786,11507,-1.8997120876889397,0.04737739125046824,0.6261561619099212,Ridge Regression
1,1.0658767678251024e-05,0.003970456309616566,11506,-25.566442112762207,0.003471328245154944,0.5929744261198755,Random Forest
2,0.003970456309616566,0.009949082508683205,11505,-29.649994346274916,0.006662486789576111,0.3616844580543823,Random Forest
3,0.009949082508683205,0.02047796919941902,11507,-17.028223041700173,0.009169725773122904,0.2582912126033143,Random Forest
4,0.02047796919941902,0.04646598547697067,11506,-2.6221760429317085,0.010229195951236605,0.3799203019757914,Random Forest
5,0.04646598547697067,0.20817092061042786,11507,-0.36343724809157507,0.03298039945887543,0.6071386149078748,Random Forest
1,1.0658767678251024e-05,0.003970456309616566,11506,-26.235316907859225,0.0036635804675469175,0.6078016267937059,XGBoost
2,0.003970456309616566,0.009949082508683205,11505,-34.58264395961339,0.007190184429348721,0.3420443433005317,XGBoost
3,0.009949082508683205,0.02047796919941902,11507,-19.54033970666828,0.00968286887330207,0.2537626550909093,XGBoost
4,0.02047796919941902,0.04646598547697067,11506,-3.341981562470165,0.010961631405178068,0.3838555762543472,XGBoost
5,0.04646598547697067,0.20817092061042786,11507,-0.23571911170982918,0.03144333368786418,0.5728441442633686,XGBoost
