model,rank,feature,importance
Random Forest,1,FSP_Index_mean_3x3,0.12633175895464305
Random Forest,2,FSP_Index_mean_15x15,0.11546898199341364
Random Forest,3,FSP_Index,0.09916302480289564
Random Forest,4,FSP_Index_mean_7x7,0.09911217753376804
Random Forest,5,Struct_Exp_Index,0.09366193091263181
Random Forest,6,Ignition_Prob_mean_15x15,0.03975915640737861
Random Forest,7,interact_Ignition_FSP,0.038109840615755015
Random Forest,8,FSP_Index_std_7x7,0.0330552230706183
Random Forest,9,FSP_Index_std_15x15,0.030596785382406295
Random Forest,10,CFL_mean_15x15,0.029405551325718027
Random Forest,11,Ignition_Prob_mean_7x7,0.02575163475198349
Random Forest,12,interact_FSP_CFL,0.02361122666130483
Random Forest,13,FSP_Index_std_3x3,0.02336460055145566
Random Forest,14,interact_CFL_Ignition,0.022558437215545176
Random Forest,15,CFL_mean_7x7,0.022054047381417998
Random Forest,16,Ignition_Prob_mean_3x3,0.020224764188962092
Random Forest,17,Ignition_Prob,0.01922125024081953
Random Forest,18,CFL_mean_3x3,0.016826735739436344
Random Forest,19,CFL,0.016798151751540813
Random Forest,20,dem_elevation_m,0.01596571681626435
XGBoost,1,Struct_Exp_Index,0.17569699883460999
XGBoost,2,FSP_Index_mean_15x15,0.14198224246501923
XGBoost,3,FSP_Index,0.13313962519168854
XGBoost,4,FSP_Index_mean_7x7,0.06669309735298157
XGBoost,5,FSP_Index_mean_3x3,0.06565932929515839
XGBoost,6,interact_Ignition_FSP,0.05430002138018608
XGBoost,7,Ignition_Prob_mean_15x15,0.04213608428835869
XGBoost,8,fuel_186,0.03857780620455742
XGBoost,9,Ignition_Prob_mean_7x7,0.028386931866407394
XGBoost,10,fuel_101,0.0217258520424366
XGBoost,11,interact_CFL_Ignition,0.01979147642850876
XGBoost,12,fuel_161,0.01830621436238289
XGBoost,13,CFL,0.015358331613242626
XGBoost,14,fuel_165,0.014532559551298618
XGBoost,15,fuel_104,0.01442237850278616
XGBoost,16,interact_FSP_CFL,0.01340701337903738
XGBoost,17,CFL_mean_7x7,0.010805678553879261
XGBoost,18,CFL_mean_3x3,0.008702682331204414
XGBoost,19,CFL_mean_15x15,0.007926887832581997
XGBoost,20,dem_elevation_m,0.007443285081535578
