model,r2,mae,spearman,brier,ece
GAT,0.7659015941734193,0.0105224898830989,0.8798862693549666,0.0003266540456244,0.002037083002214
2D CNN (spatial),0.7187246803089531,0.0123493665543275,0.8797658021851112,0.0003924833267743,0.0050958855239376
GCN,0.7088394651089746,0.0111399871402832,0.8893158122418069,0.0004062768659722,0.004487546586161
GATv2,0.6850445858707364,0.01247715135034256,0.8959849359582095,0.00043947954217535577,0.007764775275692316
XGBoost,0.676144063850086,0.0125886908369152,0.8872808091375431,0.0004518990694077,0.0050184936517276
Random Forest,0.6617008165416962,0.0125030267675228,0.892628495600973,0.0004720527528494,0.0059447051697132
GAT_vanilla,0.65433709065062,0.013927222911063342,0.8996343419294001,0.00048232787986149557,0.010261038265708518
GraphSAGE,0.5042530319770965,0.0165543176144011,0.8094868526708799,0.0006917507709586,0.0153386432887709
Ridge Regression,0.1362546310342578,0.0188079334950165,0.8011877518063182,0.0012052449403309,0.0122061722845458
Naive Mean,-0.07304113757242544,0.0241180684930042,0.0,0.0018078580925958,0.0203097915089598
